radius,velocity,velocity_error,other_value,other_error
0.08,6,4,14,10
0.17,9,4,12,6
0.25,13,3,12,4
0.33,18,5,14,5
0.42,21,4,15,4
0.50,23,4,16,4
0.58,25,3,15,4
0.67,26,3,16,5
0.75,31,3,16,5
0.83,32,3,15,5
0.92,35,3,15,4
1.00,35,3,15,4
1.08,37,3,14,4
1.17,38,4,14,4
1.25,39,3,14,5
1.33,42,4,14,5
1.42,41,4,14,5
1.50,42,3,14,5
1.58,43,3,14,5
1.67,43,5,13,4
1.75,44,5,13,4
1.83,46,4,13,4
1.92,48,3,14,5
2.00,49,4,14,4
2.08,49,5,14,4
2.17,50,6,14,5
2.25,51,5,13,5
2.33,52,5,13,5
2.42,53,7,13,5
2.50,53,8,13,5
2.58,53,7,13,5
2.67,54,7,13,6
2.75,55,7,13,6
2.83,53,6,13,5
2.92,56,5,13,5
3.00,56,3,14,5
3.08,54,3,14,5
3.17,53,4,15,5
3.25,53,3,15,5
3.33,55,3,15,6
3.42,56,3,15,5
3.50,56,3,15,5
3.58,56,3,15,5
3.67,58,3,15,6
3.75,59,3,15,6
3.83,59,3,15,5
3.92,60,3,15,6
4.00,61,3,15,5
4.08,61,3,15,5
4.17,62,3,15,5
4.25,61,3,15,5
4.33,62,4,15,5
4.42,64,5,15,5
4.50,65,5,15,5
4.58,64,5,15,5
4.67,65,6,15,5
4.75,67,5,16,6
4.83,69,5,16,5
4.92,68,5,16,5
5.00,65,6,16,5
5.08,66,6,16,5
5.17,67,5,16,5
5.25,67,6,16,5
5.33,68,6,16,5
5.42,69,5,16,5
5.50,69,5,17,5
5.58,71,5,17,5
5.67,71,5,17,5
5.75,72,5,16,5
5.83,72,5,16,5
5.92,72,5,16,5
6.00,72,5,17,5
6.08,72,6,17,5
6.17,72,6,17,5
6.25,71,5,17,5
6.33,72,5,18,6
6.42,72,8,18,6
6.50,72,8,18,6
6.58,73,8,18,6
6.67,73,9,18,6
6.75,74,8,18,6
6.83,75,6,17,6
6.92,76,5,17,6
7.00,78,4,17,6
7.08,78,4,17,6
7.17,78,4,17,6
7.25,78,4,17,6
7.33,79,4,17,5
7.42,79,3,17,6
7.50,79,3,18,6
7.58,78,3,18,6
7.67,80,3,17,6
7.75,79,3,18,6
7.83,80,3,18,6
7.92,79,3,18,6
8.00,80,3,17,6
8.08,82,4,17,6
8.17,82,3,18,6
8.25,83,4,18,6
