order,ifdefined_name,chapter_title,label,file_path,chapter_type,is_enabled,status,story_file_exists,story_file_path,summary_file_exists,summary_file_path,has_summary_file
1,show_01_BanachTarskiParadox,BanachTarskiParadox,ch:banach,01_BanachTarskiParadox,chapterwithsummaryfromfile,True,ENABLED,True,01_BanachTarskiParadox,True,01_BanachTarskiParadox/summary.tex,True
2,show_02_TopologicalInsulators,TopologicalInsulators,ch:topologicalinsulators,02_TopologicalInsulators,chapterwithsummaryfromfile,False,DISABLED,True,02_TopologicalInsulators,True,02_TopologicalInsulators/summary.tex,True
3,show_03_GoldRelativity,GoldRelativity,ch:goldrelativity,03_GoldRelativity,chapterwithsummaryfromfile,False,DISABLED,True,03_GoldRelativity,True,03_GoldRelativity/summary.tex,True
4,show_04_EMFieldsEnergyFlow,EMFieldsEnergyFlow,ch:energytransmission,04_EMFieldsEnergyFlow,chapterwithsummaryfromfile,False,DISABLED,True,04_EMFieldsEnergyFlow,True,04_EMFieldsEnergyFlow/summary.tex,True
5,show_05_CircleWheel,CircleWheel,ch:circlewheel,05_CircleWheel,chapterwithsummaryfromfile,False,DISABLED,True,05_CircleWheel,True,05_CircleWheel/summary.tex,True
6,show_06_GravityTimeDilation,GravityTimeDilation,ch:gravitytimedilation,06_GravityTimeDilation,chapterwithsummaryfromfile,False,DISABLED,True,06_GravityTimeDilation,True,06_GravityTimeDilation/summary.tex,True
7,show_07_BilliardsConicsPorism,BilliardsConicsPorism,ch:billiardsconicsporism,07_BilliardsConicsPorism,chapterwithsummaryfromfile,True,ENABLED,True,07_BilliardsConicsPorism,True,07_BilliardsConicsPorism/summary.tex,True
8,show_08_BoundedPrimeGaps,BoundedPrimeGaps,ch:boundedprimegaps,08_BoundedPrimeGaps,chapterwithsummaryfromfile,False,DISABLED,True,08_BoundedPrimeGaps,True,08_BoundedPrimeGaps/summary.tex,True
9,show_09_ArrowTheoremTopology,ArrowTheoremTopology,ch:arrowtheoremtopology,09_ArrowTheoremTopology,chapterwithsummaryfromfile,False,DISABLED,True,09_ArrowTheoremTopology,True,09_ArrowTheoremTopology/summary.tex,True
10,show_10_SolarFusionQuantumTunneling,SolarFusionQuantumTunneling,ch:solarfusionquantumtunneling,10_SolarFusionQuantumTunneling,chapterwithsummaryfromfile,False,DISABLED,True,10_SolarFusionQuantumTunneling,True,10_SolarFusionQuantumTunneling/summary.tex,True
11,show_11_AcceleratingUniverse,AcceleratingUniverse,ch:acceleratinguniverse,11_AcceleratingUniverse,chapterwithsummaryfromfile,False,DISABLED,True,11_AcceleratingUniverse,True,11_AcceleratingUniverse/summary.tex,True
12,show_12_GSMEncryptionOrder,GSMEncryptionOrder,ch:gsmencryptionorder,12_GSMEncryptionOrder,chapterwithsummaryfromfile,False,DISABLED,True,12_GSMEncryptionOrder,True,12_GSMEncryptionOrder/summary.tex,True
13,show_13_PoissonsSpot,PoissonsSpot,ch:poissonsspot,13_PoissonsSpot,chapterwithsummaryfromfile,False,DISABLED,True,13_PoissonsSpot,True,13_PoissonsSpot/summary.tex,True
14,show_14_CompactTwinParadox,CompactTwinParadox,ch:compacttwinparadox,14_CompactTwinParadox,chapterwithsummaryfromfile,False,DISABLED,True,14_CompactTwinParadox,True,14_CompactTwinParadox/summary.tex,True
15,show_15_EnvelopeParadox,EnvelopeParadox,ch:envelopeparadox,15_EnvelopeParadox,chapterwithsummaryfromfile,True,ENABLED,True,15_EnvelopeParadox,True,15_EnvelopeParadox/summary.tex,True
16,show_16_ShoelaceKnotMechanics,ShoelaceKnotMechanics,ch:shoelaceknotmechanics,16_ShoelaceKnotMechanics,chapterwithsummaryfromfile,True,ENABLED,True,16_ShoelaceKnotMechanics,True,16_ShoelaceKnotMechanics/summary.tex,True
17,show_17_TorricellisTrumpet,TorricellisTrumpet,ch:torricellistrumpet,17_TorricellisTrumpet,chapterwithsummaryfromfile,True,ENABLED,True,17_TorricellisTrumpet,True,17_TorricellisTrumpet/summary.tex,True
18,show_18_SpeculativeExecutionAttacks,SpeculativeExecutionAttacks,ch:speculativeexecutionattacks,18_SpeculativeExecutionAttacks,chapterwithsummaryfromfile,True,ENABLED,True,18_SpeculativeExecutionAttacks,True,18_SpeculativeExecutionAttacks/summary.tex,True
19,show_19_CosmicRayMuons,CosmicRayMuons,ch:cosmicraymuons,19_CosmicRayMuons,chapterwithsummaryfromfile,True,ENABLED,True,19_CosmicRayMuons,True,19_CosmicRayMuons/summary.tex,True
